Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1 uF,C_0402_1005Metric,124.13,-85.1,0,top
C2,"1 uF, 25 V, X7R",C_0603_1608Metric,178.5,-125.7,180,top
D1,mp-LowDriver,DIP-18_W7.62mm,171.46,-110.3,90,top
D2,ESD5Zxx,D_SOD-523,178.375,-115.2,0,top
D3,ESD5Zxx,D_SOD-523,178.275,-122.2,0,top
D4,ESD5Zxx,D_SOD-523,182.875,-118.8,180,top
G1,Molex Pump Connector,Right Angle MOLEX Pump Connector 0039532044,187.7,-131.85,-90,top
J2,Flow sensor MOLEX connector,Molex_PicoBlade_53048-0610_1x06_P1.25mm_Horizontal,191,-120.425,90,top
J3,SSW-102-01-F-S,CON2_1X2_TU_SSQ,192.47,-73.5,0,top
J4,SSW-102-01-F-S,CON2_1X2_TU_SSQ,192.47,-80,180,top
J5,SSW-102-01-F-S,CON2_1X2_TU_SSQ,164.8,-86.43,-90,top
J6,SSW-102-01-F-S,CON2_1X2_TU_SSQ,158,-83.27,-90,top
J7,SSW-102-01-F-S,CON2_1X2_TU_SSQ,164.9,-94.73,-90,top
J8,SSW-102-01-F-S,CON2_1X2_TU_SSQ,158.2,-91.03,-90,top
J9,SSW-102-01-F-S,CON2_1X2_TU_SSQ,165.1,-102.63,-90,top
J10,SSW-102-01-F-S,CON2_1X2_TU_SSQ,158.3,-99.53,-90,top
J11,SSW-102-01-F-S,CON2_1X2_TU_SSQ,165.1,-110.23,-90,top
J12,SSW-102-01-F-S,CON2_1X2_TU_SSQ,158.1,-108.13,-90,top
MOSFET1,SQ2362ES-T1_GE3,SQ2362ES-T1_GE3_VIS,151,-67.016,0,top
MOSFET2,SQ2362ES-T1_GE3,SQ2362ES-T1_GE3_VIS,151,-72.016,0,top
MOSFET3,SQ2362ES-T1_GE3,SQ2362ES-T1_GE3_VIS,151,-77.016,0,top
MOSFET4,SQ2362ES-T1_GE3,SQ2362ES-T1_GE3_VIS,151,-82.516,0,top
MOSFET5,SQ2362ES-T1_GE3,SQ2362ES-T1_GE3_VIS,151,-88.016,0,top
MOSFET6,SQ2362ES-T1_GE3,SQ2362ES-T1_GE3_VIS,151,-93.016,0,top
MOSFET7,SQ2362ES-T1_GE3,SQ2362ES-T1_GE3_VIS,151,-98.516,0,top
MOSFET8,SQ2362ES-T1_GE3,SQ2362ES-T1_GE3_VIS,151,-104.516,0,top
R1,10k,R_0402_1005Metric,121.11,-85.1,0,top
R2,10K,R_0402_1005Metric,138.01,-68,0,top
R3,10K,R_0402_1005Metric,138.01,-73,0,top
R4,10K,R_0402_1005Metric,138.01,-77.5,0,top
R5,10K,R_0402_1005Metric,138.01,-83.5,0,top
R6,4.7k,R_0603_1608Metric,183.4,-96.6,-90,top
R7,10K,R_0402_1005Metric,138.01,-88.5,0,top
R8,4.7k,R_0603_1608Metric,177.9,-96.675,-90,top
R9,10K,R_0402_1005Metric,138,-94.5,0,top
R10,10K,R_0402_1005Metric,138.01,-99.5,0,top
R11,10K,R_0402_1005Metric,137.99,-105.5,0,top
R12,4.7k,R_0603_1608Metric,182.95,-125.7,180,top
R13,4.7k,R_0603_1608Metric,182.9,-115.2,180,top
R14,47R,R_0603_1608Metric,178.45,-118.8,180,top
R15,47R,R_0603_1608Metric,182.75,-122.2,180,top
SW1,SW_SPDT,PinHeader_1x03_P2.54mm_Vertical,184.9,-76.8,180,top
U1,TPIC6C595DR,D16,125.055,-77.9622,90,top
U2,ESP32-S2-DEVKITM-1U,XCVR_ESP32-S2-DEVKITM-1U,145.6,-127.73,-90,top
V1,~,CONN_PPPC051LFBN-RC_SUL,172.8,-92,90,top
V2,~,CONN_PPPC051LFBN-RC_SUL,163,-71.76,90,top
